Id,lotArea,quality,condition,BsmtSF,floorOneSF,floorTwoSF,bsmtFullBath,noRooms,firePlaces,garageCars,woodDeckSF,salePrice
1,8450,7,5,856,856,854,1,8,0,2,0,208500
2,9600,6,8,1262,1262,0,0,6,1,2,298,181500
3,11250,7,5,920,920,866,1,6,1,2,0,223500
4,9550,7,5,756,961,756,1,7,1,3,0,140000
5,14260,8,5,1145,1145,1053,1,9,1,3,192,250000
6,14115,5,5,796,796,566,1,5,0,2,40,143000
7,10084,8,5,1686,1694,0,1,7,1,2,255,307000
8,10382,7,6,1107,1107,983,1,7,2,2,235,200000
9,6120,7,5,952,1022,752,0,8,2,2,90,129900
10,7420,5,6,991,1077,0,1,5,2,1,0,118000
11,11200,5,5,1040,1040,0,1,5,0,1,0,129500
12,11924,9,5,1175,1182,1142,1,11,2,3,147,345000
13,12968,5,6,912,912,0,1,4,0,1,140,144000
14,10652,7,5,1494,1494,0,0,7,1,3,160,279500
15,10920,6,5,1253,1253,0,1,5,1,1,0,157000
16,6120,7,8,832,854,0,0,5,0,2,48,132000
17,11241,6,7,1004,1004,0,1,5,1,2,0,149000
18,10791,4,5,0,1296,0,0,6,0,2,0,90000
19,13695,5,5,1114,1114,0,1,6,0,2,0,159000
20,7560,5,6,1029,1339,0,0,6,0,1,0,139000
21,14215,8,5,1158,1158,1218,0,9,1,3,240,325300
22,7449,7,7,637,1108,0,0,6,1,1,0,139400
23,9742,8,5,1777,1795,0,0,7,1,2,171,230000
24,4224,5,7,1040,1060,0,1,6,1,2,100,129900
25,8246,5,8,1060,1060,0,1,6,1,1,406,154000
26,14230,8,5,1566,1600,0,0,7,1,3,0,256300
27,7200,5,7,900,900,0,0,5,0,2,222,134800
28,11478,8,5,1704,1704,0,1,7,1,3,0,306000
29,16321,5,6,1484,1600,0,1,6,2,1,288,207500
30,6324,4,6,520,520,0,0,4,0,1,49,68500
31,8500,4,4,649,649,668,0,6,0,1,0,40000
32,8544,5,6,1228,1228,0,0,6,0,1,0,149350
33,11049,8,5,1234,1234,0,0,7,0,2,0,179900
34,10552,5,5,1398,1700,0,0,6,1,2,0,165500
35,7313,9,5,1561,1561,0,1,6,1,2,203,277500
36,13418,8,5,1117,1132,1320,0,9,1,3,113,309000
37,10859,5,5,1097,1097,0,0,6,0,2,392,145000
38,8532,5,6,1297,1297,0,0,5,1,2,0,153000
39,7922,5,7,1057,1057,0,1,5,0,1,0,109000
40,6040,4,5,0,1152,0,0,6,0,0,0,82000
41,8658,6,5,1088,1324,0,0,6,1,2,0,160000
42,16905,5,6,1350,1328,0,0,5,2,1,0,170000
43,9180,5,7,840,884,0,1,5,0,2,240,144000
44,9200,5,6,938,938,0,1,5,0,1,145,130250
45,7945,5,6,1150,1150,0,1,6,0,1,0,141000
46,7658,9,5,1752,1752,0,1,6,1,2,196,319900
47,12822,7,5,1434,1518,631,1,6,1,2,168,239686
48,11096,8,5,1656,1656,0,0,7,0,3,0,249700
49,4456,4,5,736,736,716,0,8,0,0,0,113000
